,Brand,Model,YOM,Fuel Type,Millage(KM),Price
91,BMW,318I M SPORT AUSTRALIAN,2018,Petrol,77000.0,280.0
92,BMW,318I M SPORT SHADOW,2018,Petrol,77000.0,275.0
93,BMW,318I MSPORT,2017,Petrol,88000.0,225.0
94,BMW,318I SHADOW EDITION,2018,Petrol,77000.0,280.0
95,BMW,320D,2011,Diesel,154000.0,295.75
96,BMW,320D,2000,Diesel,275000.0,54.5
97,BMW,320D,2011,Diesel,154000.0,119.5
98,BMW,320D,2013,Diesel,132000.0,190.0
99,BMW,320D,2013,Diesel,132000.0,180.0
100,BMW,320D SPORTS,2013,Diesel,132000.0,179.0
101,BMW,320I,2007,Petrol,198000.0,115.0
102,BMW,320I,2007,Petrol,198000.0,115.0
103,BMW,320I,2007,Petrol,198000.0,115.0
104,BMW,320I E90,2007,Petrol,198000.0,115.0
105,BMW,320I E90,2007,Petrol,198000.0,115.0
106,BMW,320I E90,2010,Petrol,165000.0,123.125
107,BMW,320I E90,2006,Petrol,209000.0,116.0
108,BMW,420D,2015,Diesel,110000.0,350.0
109,BMW,430I GRAN COUPE,2017,Petrol,88000.0,450.0
110,BMW,520,2012,Diesel,143000.0,228.0
111,BMW,520D,2012,Diesel,143000.0,245.0
112,BMW,520D,2012,Diesel,143000.0,220.0
113,BMW,520D,2012,Diesel,143000.0,212.0
114,BMW,520D,2013,Diesel,132000.0,264.0
115,BMW,520D,2012,Diesel,143000.0,225.0
116,BMW,520D,2013,Diesel,132000.0,264.0
117,BMW,520D,2015,Diesel,110000.0,330.0
118,BMW,520D,2012,Diesel,143000.0,198.0
119,BMW,520D,2013,Diesel,132000.0,258.0
120,BMW,520D,2012,Diesel,143000.0,220.0
121,BMW,520D,2013,Diesel,132000.0,270.0
122,BMW,520D 3 OPTION,2013,Diesel,132000.0,238.0
123,BMW,520D M SPORT,2015,Diesel,110000.0,360.0
124,BMW,520D MSPORT,2012,Diesel,143000.0,218.00002
125,BMW,520I,2005,Petrol,220000.0,100.0
126,BMW,520I,2011,Petrol,154000.0,178.0
127,BMW,520I,2011,Petrol,154000.0,175.0
128,BMW,525 E,1974,Diesel,561000.0,14.5
129,BMW,530E,2017,Hybrid,88000.0,364.5
130,BMW,530E,2017,Petrol,88000.0,364.5
131,BMW,530E,2017,Petrol,88000.0,364.5
132,BMW,530E,2017,Petrol,88000.0,364.5
133,BMW,530I M SPORT,2017,Petrol,88000.0,460.0
134,BMW,535I,2011,Petrol,154000.0,185.0
135,BMW,730 LI,2006,Petrol,209000.0,175.0
136,BMW,730IL,2011,Petrol,154000.0,275.0
137,BMW,730L ACTIVEHYBRID 7,2014,Hybrid,121000.0,285.0
138,BMW,740LE M SPORT,2016,Petrol,99000.0,575.0
